voter,position,book,author,top100
"Stuart, Douglas",9,"How Late It Was, How Late","Kelman, James",FALSE
"Meek, James",3,The Busconductor Hines,"Kelman, James",FALSE
"Mabanckou, Alain",9,On the Road,"Kerouac, Jack",FALSE
"Dyer, Geoff",10,On the Road,"Kerouac, Jack",FALSE
"Smith, Ali",5,After Midnight,"Keun, Irmgard",FALSE
"de Waal, Kit",3,Flowers for Algernon,"Keyes, Daniel",FALSE
"McCann, Colum",2,Proxopera,"Kiely, Benedict",FALSE
"Silcox, Beejay",8,The Stand,"King, Stephen",FALSE
"Mosse, Kate",4,Demon Copperhead,"Kingsolver, Barbara",FALSE
"van der Wouden, Yael",7,Demon Copperhead,"Kingsolver, Barbara",FALSE
"Collins, Sara",9,The Poisonwood Bible,"Kingsolver, Barbara",FALSE
"Theroux, Marcel",10,Kim,"Kipling, Rudyard",FALSE
"Smith, Ali",8,Michael Kohlhaas,"Kleist, Heinrich von",FALSE
"Diop, David",5,Allah Is Not Obliged,"Kourouma, Ahmadou",FALSE
"Maarouf, Mazen",1,The Third Lie,"Kristóf, Ágota",FALSE
"Jaggi, Maya",8,On the Edge of Reason,"Krleža, Miroslav",FALSE
"Anil, Pratinav",7,The Unbearable Lightness of Being,"Kundera, Milan",FALSE
"Cook, Jude",10,The Buddha of Suburbia,"Kureishi, Hanif",FALSE
"Shukla, Nikesh",1,The Buddha of Suburbia,"Kureishi, Hanif",FALSE
"Okri, Ben",10,La Princesse De Cleves,"La Fayette, Madame de",FALSE
"Elkin, Lauren",10,La Princesse De Cleves,"La Fayette, Madame de",FALSE
"Haddon, Mark",10,The Maniac,"Labatut, Benjamín",FALSE
"Khan, Uzma Aslam",4,The Moor's Account,"Lalami, Laila",FALSE
"Hamya, Jo",9,Passing,"Larsen, Nella",FALSE
"Evaristo, Bernardine",6,Quicksand,"Larsen, Nella",FALSE
"Johnston, Freya",6,Little Boy Lost,"Laski, Marghanita",FALSE
"Morrison, Blake",5,Sons and Lovers,"Lawrence, D. H.",FALSE
"Walter, Natasha",10,Sons and Lovers,"Lawrence, D. H.",FALSE
"Taylor, Catherine",8,The Rainbow,"Lawrence, D. H.",TRUE
"Creamer, Ella",4,The Rainbow,"Lawrence, D. H.",TRUE
"Feigel, Lara",4,The Rainbow,"Lawrence, D. H.",TRUE
"Hadley, Tessa",8,The Rainbow,"Lawrence, D. H.",TRUE
"Goddard, Kieran",1,Women in Love,"Lawrence, D. H.",FALSE
"King, Lily",8,Independant People,"Laxness, Halldór",FALSE
"Sandhu, Sukhdev",10,The Fish Can Sing,"Laxness, Halldór",FALSE
"Williams, Imogen Russell",1,A Wizard of Earthsea,"Le Guin, Ursula K.",FALSE
"Brooks, Xan",10,A Wizard of Earthsea,"Le Guin, Ursula K.",FALSE
"Roberts, Adam",4,Earthsea,"Le Guin, Ursula K.",FALSE
"Liu, Rebecca",9,The Dispossessed,"Le Guin, Ursula K.",FALSE
"Craig, Amanda",8,The Left Hand of Darkness,"Le Guin, Ursula K.",TRUE
"Silcox, Beejay",7,The Left Hand of Darkness,"Le Guin, Ursula K.",TRUE
"Lanchester, John",9,The Left Hand of Darkness,"Le Guin, Ursula K.",TRUE
"Chabon, Michael",10,The Left Hand of Darkness,"Le Guin, Ursula K.",TRUE
"Sturges, Fiona",5,To Kill a Mockingbird,"Lee, Harper",FALSE
"Knapp, Florence",8,To Kill a Mockingbird,"Lee, Harper",FALSE
"Crown, Sarah",2,To Kill a Mockingbird,"Lee, Harper",FALSE
"Gay, Roxane",3,Pachinko,"Lee, Min Jin",FALSE
"Clark, Alex",5,The Golden Notebook,"Lessing, Doris",TRUE
"Needham, Alex",9,The Golden Notebook,"Lessing, Doris",TRUE
"Feigel, Lara",6,The Golden Notebook,"Lessing, Doris",TRUE
"Tuttle, Lisa",10,The Golden Notebook,"Lessing, Doris",TRUE
"Walter, Natasha",9,The Golden Notebook,"Lessing, Doris",TRUE
"Liu, Rebecca",4,The Golden Notebook,"Lessing, Doris",TRUE
"Sams, Saba",4,The Golden Notebook,"Lessing, Doris",TRUE
"Owusu, Derek",8,The Grass Is Singing,"Lessing, Doris",FALSE
"Mabanckou, Alain",8,If This Is a Man / the Truce,"Levi, Primo",FALSE
"Harris, Joanne",10,Small Island,"Levy, Andrea",FALSE
"Viner, Katharine",8,Small Island,"Levy, Andrea",FALSE
"Cohen, Joshua",4,The Monk,"Lewis, Matthew Gregory",FALSE
"Broder, Melissa",7,The Passion According to G.h.,"Lispector, Clarice",FALSE
"Carty-Williams, Candice",10,Sister Outsider,"Lorde, Audre",FALSE
"Allan, Nina",2,Under the Volcano,"Lowry, Malcolm",FALSE
"Brooks, Xan",8,A New Life,"Malamud, Bernard",FALSE
"Lynskey, Dorian",8,Station Eleven,"Mandel, Emily St. John",FALSE
"Shukla, Nikesh",7,Station Eleven,"Mandel, Emily St. John",FALSE
"Tóibín, Colm",5,Buddenbrooks,"Mann, Thomas",TRUE
"Jasanoff, Maya",4,Buddenbrooks,"Mann, Thomas",TRUE
"Dolan, Naoise",8,Buddenbrooks,"Mann, Thomas",TRUE
"Kuang, RF",10,Buddenbrooks,"Mann, Thomas",TRUE
"Akbar, Arifa",4,Death in Venice,"Mann, Thomas",FALSE
"Broder, Melissa",5,Death in Venice,"Mann, Thomas",FALSE
"Rashid, Tanjll",5,Joseph and His Brothers,"Mann, Thomas",FALSE
"Aridjis, Chloe",3,The Magic Mountain,"Mann, Thomas",TRUE
"Kehlmann, Daniel",8,The Magic Mountain,"Mann, Thomas",TRUE
"McBride, Eimear",6,The Magic Mountain,"Mann, Thomas",TRUE
"McEwan, Ian",8,The Magic Mountain,"Mann, Thomas",TRUE
"Meek, James",8,The Magic Mountain,"Mann, Thomas",TRUE
"Anil, Pratinav",6,The Magic Mountain,"Mann, Thomas",TRUE
"Bakewell, Sarah",1,The Magic Mountain,"Mann, Thomas",TRUE
"Mendelson, Charlotte",5,A Place of Greater Safety,"Mantel, Hilary",FALSE
"Dastidar, Rishi",8,A Place of Greater Safety,"Mantel, Hilary",FALSE
"Rosoff, Meg",7,Bring up the Bodies,"Mantel, Hilary",FALSE
"Harrison, Melissa",4,Bring up the Bodies,"Mantel, Hilary",FALSE
"Harris, Alexandra",9,The Mirror and the Light,"Mantel, Hilary",FALSE
"Rosoff, Meg",6,The Mirror and the Light,"Mantel, Hilary",FALSE
"Cain, Sian",2,The Mirror and the Light,"Mantel, Hilary",FALSE
"Clark, Clare",10,Wolf Hall,"Mantel, Hilary",TRUE
"Sturges, Fiona",2,Wolf Hall,"Mantel, Hilary",TRUE
"Jordan, Justine",9,Wolf Hall,"Mantel, Hilary",TRUE
"Rundell, Katherine",8,Wolf Hall,"Mantel, Hilary",TRUE
"Mengiste, Maaza",5,Wolf Hall,"Mantel, Hilary",TRUE
"Rosoff, Meg",5,Wolf Hall,"Mantel, Hilary",TRUE
"Kuang, RF",6,Wolf Hall,"Mantel, Hilary",TRUE
"Ellis, Samantha",6,Wolf Hall,"Mantel, Hilary",TRUE
"Newman, Sandra",6,Wolf Hall,"Mantel, Hilary",TRUE
"Moss, Sarah",9,Wolf Hall,"Mantel, Hilary",TRUE
"Kent, Christobel",8,The Betrothed,"Manzoni, Alessandro",FALSE
"Mackintosh, Sophie",5,Heart so White,"Marías, Javier",FALSE
"Dastidar, Rishi",6,Wittgenstein's Mistress,"Markson, David",FALSE
"O’Farrell, Maggie",3,North Woods,"Mason, Daniel",FALSE
"Boyne, John",9,The Razor's Edge,"Maugham, William Somerset",FALSE
"Shariatmadari, David",10,Tales of the City,"Maupin, Armistead",FALSE
"Ní Ghríofa, Doireann",7,Rebecca,"Maurier, Daphne du",TRUE
"Shafak, Elif",9,Rebecca,"Maurier, Daphne du",TRUE
"Carson, Jan",4,Rebecca,"Maurier, Daphne du",TRUE
"Allardice, Lisa",6,Rebecca,"Maurier, Daphne du",TRUE
"Chabon, Michael",7,"So Long, See You Tomorrow","Maxwell, William",FALSE
"Rose, Jacqueline",7,A Girl Is a Half-Formed Thing,"McBride, Eimear",FALSE
"Obioma, Chigozie",1,Blood Meridian,"McCarthy, Cormac",TRUE
"Edugyan, Esi",8,Blood Meridian,"McCarthy, Cormac",TRUE
"Dunthorne, Joe",2,Blood Meridian,"McCarthy, Cormac",TRUE
"Brooks, Xan",9,Blood Meridian,"McCarthy, Cormac",TRUE
"Calder, Jem",4,Suttree,"McCarthy, Cormac",FALSE
"de Waal, Kit",8,The Road,"McCarthy, Cormac",TRUE
"Waters, Sarah",5,The Road,"McCarthy, Cormac",TRUE
"Luiselli, Valeria",1,The Road,"McCarthy, Cormac",TRUE
"Sams, Saba",6,The Heart Is a Lonely Hunter,"McCullers, Carson",FALSE
"King, Stephen",4,The Heart Is a Lonely Hunter,"McCullers, Carson",FALSE
"Sturges, Fiona",6,Atonement,"McEwan, Ian",FALSE
"Moore, Lorrie",5,The Child in Time,"McEwan, Ian",FALSE
"Gleeson, Sinéad",9,Amongst Women,"McGahern, John",FALSE
"Haddon, Mark",8,Here,"McGuire, Richard",FALSE
"Mohamed, Nadifa",8,Home to Harlem,"McKay, Claude",FALSE
"Dyer, Geoff",2,Lonesome Dove,"McMurtry, Larry",FALSE
"Osman, Richard",3,Lonesome Dove,"McMurtry, Larry",FALSE
"Needham, Alex",3,Hurricane Season,"Melchor, Fernanda",FALSE
"Manguel, Alberto",2,Moby-Dick,"Melville, Herman",TRUE
"Enright, Anne",4,Moby-Dick,"Melville, Herman",TRUE
"Okri, Ben",5,Moby-Dick,"Melville, Herman",TRUE
"Aridjis, Chloe",7,Moby-Dick,"Melville, Herman",TRUE
"Power, Chris",1,Moby-Dick,"Melville, Herman",TRUE
"Armitstead, Claire",10,Moby-Dick,"Melville, Herman",TRUE
"McBride, Eimear",10,Moby-Dick,"Melville, Herman",TRUE
"Lanchester, John",5,Moby-Dick,"Melville, Herman",TRUE
"Chabon, Michael",1,Moby-Dick,"Melville, Herman",TRUE
"Kushner, Rachel",1,Moby-Dick,"Melville, Herman",TRUE
"Leith, Sam",9,Moby-Dick,"Melville, Herman",TRUE
"Churchwell, Sarah",10,Moby-Dick,"Melville, Herman",TRUE
"Hustvedt, Siri",5,Moby-Dick,"Melville, Herman",TRUE
"King, Stephen",1,Moby-Dick,"Melville, Herman",TRUE
"Poole, Steven",3,Moby-Dick,"Melville, Herman",TRUE
"Kelly, Stuart",3,Moby-Dick,"Melville, Herman",TRUE
"Rashid, Tanjll",2,Moby-Dick,"Melville, Herman",TRUE
"Li, Yiyun",3,Moby-Dick,"Melville, Herman",TRUE
"Kelly, Stuart",10,The City & the City,"Miéville, China",FALSE
"Younis, Nussaibah",1,The Song of Achilles,"Miller, Madeline",FALSE
"Murata, Sayaka",9,Confessions of a Mask,"Mishima, Yukio",FALSE
"Obioma, Chigozie",10,Thirst for Love,"Mishima, Yukio",FALSE
"Craig, Amanda",5,A Fine Balance,"Mistry, Rohinton",TRUE
"Messud, Claire",10,A Fine Balance,"Mistry, Rohinton",TRUE
"Clark, Clare",8,A Fine Balance,"Mistry, Rohinton",TRUE
"Knapp, Florence",1,A Fine Balance,"Mistry, Rohinton",TRUE
"Mohamed, Nadifa",3,A Fine Balance,"Mistry, Rohinton",TRUE
"Gay, Roxane",8,A Fine Balance,"Mistry, Rohinton",TRUE
"Enright, Anne",10,Cloud Atlas,"Mitchell, David",FALSE
"Kelly, Stuart",9,Cloud Atlas,"Mitchell, David",FALSE
"Allardice, Lisa",3,The Pursuit of Love,"Mitford, Nancy",FALSE
"Knapp, Florence",3,Anne of Green Gables,"Montgomery, Lucy Maud",FALSE
"Bari, Shahidha",5,Anne of Green Gables,"Montgomery, Lucy Maud",FALSE
"Shukla, Nikesh",6,Watchmen,"Moore, Alan",FALSE
"Sams, Saba",1,Who Will Run the Frog Hospital?,"Moore, Lorrie",FALSE
"Gleeson, Sinéad",7,Who Will Run the Frog Hospital?,"Moore, Lorrie",FALSE
"Dolan, Naoise",2,Arturo's Island,"Morante, Elsa",FALSE
"Anil, Pratinav",9,Boredom,"Moravia, Alberto",FALSE
"Roberts, Adam",9,Beloved,"Morrison, Toni",TRUE
"Edemariam, Aida",5,Beloved,"Morrison, Toni",TRUE
"Smith, Ali",1,Beloved,"Morrison, Toni",TRUE
"Enright, Anne",2,Beloved,"Morrison, Toni",TRUE
"Akbar, Arifa",5,Beloved,"Morrison, Toni",TRUE
"Evaristo, Bernardine",1,Beloved,"Morrison, Toni",TRUE
"Carty-Williams, Candice",9,Beloved,"Morrison, Toni",TRUE
"Northedge, Charlotte",5,Beloved,"Morrison, Toni",TRUE
"Messud, Claire",5,Beloved,"Morrison, Toni",TRUE
"Johnson, Daisy",5,Beloved,"Morrison, Toni",TRUE
"Barr, Damian",7,Beloved,"Morrison, Toni",TRUE
"Stuart, Douglas",1,Beloved,"Morrison, Toni",TRUE
"Creamer, Ella",3,Beloved,"Morrison, Toni",TRUE
"Edugyan, Esi",5,Beloved,"Morrison, Toni",TRUE
"Sturges, Fiona",1,Beloved,"Morrison, Toni",TRUE
"Williams, Imogen Russell",7,Beloved,"Morrison, Toni",TRUE
"Rose, Jacqueline",4,Beloved,"Morrison, Toni",TRUE
"Carson, Jan",2,Beloved,"Morrison, Toni",TRUE
"Cook, Jude",9,Beloved,"Morrison, Toni",TRUE
"Myerson, Julie",6,Beloved,"Morrison, Toni",TRUE
"Jordan, Justine",8,Beloved,"Morrison, Toni",TRUE
"Viner, Katharine",1,Beloved,"Morrison, Toni",TRUE
"Rundell, Katherine",4,Beloved,"Morrison, Toni",TRUE
"de Waal, Kit",7,Beloved,"Morrison, Toni",TRUE
"Elkin, Lauren",3,Beloved,"Morrison, Toni",TRUE
"Spencer, Liese",3,Beloved,"Morrison, Toni",TRUE
"King, Lily",4,Beloved,"Morrison, Toni",TRUE
"Allardice, Lisa",7,Beloved,"Morrison, Toni",TRUE
"Moore, Lorrie",4,Beloved,"Morrison, Toni",TRUE
"Emre, Merve",4,Beloved,"Morrison, Toni",TRUE
"Mohamed, Nadifa",1,Beloved,"Morrison, Toni",TRUE
"Walter, Natasha",2,Beloved,"Morrison, Toni",TRUE
"Liu, Rebecca",2,Beloved,"Morrison, Toni",TRUE
"Gay, Roxane",6,Beloved,"Morrison, Toni",TRUE
"Rushdie, Salman",6,Beloved,"Morrison, Toni",TRUE
"Collins, Sara",1,Beloved,"Morrison, Toni",TRUE
"Hustvedt, Siri",9,Beloved,"Morrison, Toni",TRUE
"Mackintosh, Sophie",2,Beloved,"Morrison, Toni",TRUE
"Rustin, Susanna",7,Beloved,"Morrison, Toni",TRUE
"Anam, Tahmima",2,Beloved,"Morrison, Toni",TRUE
"Khan, Uzma Aslam",8,Beloved,"Morrison, Toni",TRUE
"van der Wouden, Yael",4,Beloved,"Morrison, Toni",TRUE
"Dawoor, Yagnishsing",3,Beloved,"Morrison, Toni",TRUE
"McCann, Colum",4,Song of Solomon,"Morrison, Toni",TRUE
"Evans, Diana",5,Song of Solomon,"Morrison, Toni",TRUE
"Birch, Dinah",8,Song of Solomon,"Morrison, Toni",TRUE
"Gunaratne, Guy",5,Song of Solomon,"Morrison, Toni",TRUE
"Rankin, Ian",7,Song of Solomon,"Morrison, Toni",TRUE
"Mengiste, Maaza",1,Song of Solomon,"Morrison, Toni",TRUE
"Dolan, Naoise",3,Song of Solomon,"Morrison, Toni",TRUE
"Nicholls, David",8,Sula,"Morrison, Toni",FALSE
"Edwards, Jack",1,Sula,"Morrison, Toni",FALSE
"Diop, David",10,Tar Baby,"Morrison, Toni",FALSE
"Egan, Jennifer",7,The Bluest Eye,"Morrison, Toni",TRUE
"Mosse, Kate",3,The Bluest Eye,"Morrison, Toni",TRUE
"Jaggi, Maya",4,The Bluest Eye,"Morrison, Toni",TRUE
"Donkor, Michael",10,The Bluest Eye,"Morrison, Toni",TRUE
"Evaristo, Bernardine",3,Ghost Wall,"Moss, Sarah",FALSE
"Carty-Williams, Candice",3,Nightcrawling,"Mottley, Leila",FALSE
"Edemariam, Aida",8,Lives of Girls and Women,"Munro, Alice",FALSE
"Moore, Lorrie",3,Lives of Girls and Women,"Munro, Alice",FALSE
"Owusu, Derek",10,Kafka on the Shore,"Murakami, Haruki",FALSE
"Harris, Joanne",9,Kafka on the Shore,"Murakami, Haruki",FALSE
"Anil, Pratinav",3,A Severed Head,"Murdoch, Iris",FALSE
"Shariatmadari, David",3,The Bell,"Murdoch, Iris",FALSE
"Barekat, Houman",10,The Black Prince,"Murdoch, Iris",FALSE
"Allan, Nina",3,"The Sea, the Sea","Murdoch, Iris",FALSE
"Harrison, M. John",7,The Unicorn,"Murdoch, Iris",FALSE
"Sampson, Fiona",6,Tamarisk Row,"Murnane, Gerald",FALSE
"Day, Jon",9,Tamarisk Row,"Murnane, Gerald",FALSE
"Emre, Merve",5,The Plains,"Murnane, Gerald",FALSE
"van der Wouden, Yael",6,Bee Sting,"Murray, Paul",FALSE
"Chaudhuri, Amit",6,Samskara,"Murthy, U. R. Anantha",FALSE
"Thirlwell, Adam",3,The Man Without Qualities,"Musil, Robert",TRUE
"Patterson, Ian",6,The Man Without Qualities,"Musil, Robert",TRUE
"Smith, PD",1,The Man Without Qualities,"Musil, Robert",TRUE
"Sandhu, Sukhdev",6,The Man Without Qualities,"Musil, Robert",TRUE
"Smith, Ali",4,Invitation to a Beheading,"Nabokov, Vladimir",FALSE
"Evans, Diana",7,Lolita,"Nabokov, Vladimir",TRUE
"Stuart, Douglas",10,Lolita,"Nabokov, Vladimir",TRUE
"Day, Elizabeth",5,Lolita,"Nabokov, Vladimir",TRUE
"Hamya, Jo",10,Lolita,"Nabokov, Vladimir",TRUE
"Jordan, Justine",6,Lolita,"Nabokov, Vladimir",TRUE
"Power, Kevin",2,Lolita,"Nabokov, Vladimir",TRUE
"Rijneveld, Lucas",5,Lolita,"Nabokov, Vladimir",TRUE
"Broder, Melissa",6,Lolita,"Nabokov, Vladimir",TRUE
"Emre, Merve",2,Lolita,"Nabokov, Vladimir",TRUE
"Donkor, Michael",4,Lolita,"Nabokov, Vladimir",TRUE
"Kushner, Rachel",9,Lolita,"Nabokov, Vladimir",TRUE
"Sams, Saba",8,Lolita,"Nabokov, Vladimir",TRUE
"Leith, Sam",10,Lolita,"Nabokov, Vladimir",TRUE
"Needham, Alex",2,Pale Fire,"Nabokov, Vladimir",TRUE
"Batuman, Elif",4,Pale Fire,"Nabokov, Vladimir",TRUE
"Barekat, Houman",6,Pale Fire,"Nabokov, Vladimir",TRUE
"Thayil, Jeet",6,Pale Fire,"Nabokov, Vladimir",TRUE
"Allan, Nina",5,Pale Fire,"Nabokov, Vladimir",TRUE
"Kuang, RF",1,Pale Fire,"Nabokov, Vladimir",TRUE
"Crown, Sarah",7,Pale Fire,"Nabokov, Vladimir",TRUE
"Poole, Steven",4,Pale Fire,"Nabokov, Vladimir",TRUE
"Boyd, William",4,Pale Fire,"Nabokov, Vladimir",TRUE
"Brooks, Xan",3,Pale Fire,"Nabokov, Vladimir",TRUE
"Roberts, Adam",5,Pnin,"Nabokov, Vladimir",FALSE
"Markovits, Ben",3,Pnin,"Nabokov, Vladimir",FALSE
"Owusu, Derek",2,The Real Life of Sebastian Knight,"Nabokov, Vladimir",FALSE
"Clark, Alex",7,A Bend in the River,"Naipaul, V. S.",FALSE
"Edugyan, Esi",6,A Bend in the River,"Naipaul, V. S.",FALSE
"Edemariam, Aida",10,A House for Mr Biswas,"Naipaul, V. S.",TRUE
"Chaudhuri, Amit",3,A House for Mr Biswas,"Naipaul, V. S.",TRUE
"Jasanoff, Maya",8,A House for Mr Biswas,"Naipaul, V. S.",TRUE
"Sandhu, Sukhdev",5,A House for Mr Biswas,"Naipaul, V. S.",TRUE
"Chaudhuri, Amit",1,The Enigma of Arrival,"Naipaul, V. S.",FALSE
"Rashid, Tanjll",3,The Enigma of Arrival,"Naipaul, V. S.",FALSE
"Chaudhuri, Amit",4,Swami and Friends,"Narayan, R. K.",FALSE
"Sandhu, Sukhdev",7,Swami and Friends,"Narayan, R. K.",FALSE
"Craig, Amanda",9,Suite Française,"Némirovsky, Irène",FALSE
"Barr, Damian",10,Suite Française,"Némirovsky, Irène",FALSE
"Younis, Nussaibah",10,We All Want Impossible Things,"Newman, Catherine",FALSE
"Haddon, Mark",3,Tongues I,"Nilsen, Anders",FALSE
"King, Stephen",10,McTeague,"Norris, Frank",FALSE
"Dolan, Naoise",1,The Dirty Dust,"Ó Cadhain, Máirtín",FALSE
"Ní Ghríofa, Doireann",6,The Dirty Dust,"Ó Cadhain, Máirtín",FALSE
"Dolan, Naoise",9,Lead Us Into Temptation,"Ó hEithir, Breandán",FALSE
"Chabon, Michael",9,Aubrey-Maturin Series,"O'Brian, Patrick",FALSE
"Stibbe, Nina",2,The Country Girls,"O'Brien, Edna",FALSE
"McCann, Colum",3,At Swim-Two-Birds,"O'Brien, Flann",FALSE
"Dunthorne, Joe",10,The Third Policeman,"O'Brien, Flann",FALSE
"Day, Jon",6,The Third Policeman,"O'Brien, Flann",FALSE
"King, Stephen",6,Wise Blood,"O'Connor, Flannery",FALSE
"Knapp, Florence",7,Hamnet,"O'Farrell, Maggie",FALSE
"Haynes, Natalie",1,The Memory Police,"Ogawa, Yoko",FALSE
"Murata, Sayaka",7,The Memory Police,"Ogawa, Yoko",FALSE
"Harris, Joanne",8,The Famished Road,"Okri, Ben",FALSE
"Crewe, Tom",7,Miss Marjoribanks,"Oliphant, Margaret",FALSE
"McCann, Colum",5,Coming Through Slaughter,"Ondaatje, Michael",FALSE
"Jaggi, Maya",5,In the Skin of a Lion,"Ondaatje, Michael",FALSE
"Edugyan, Esi",7,The English Patient,"Ondaatje, Michael",FALSE
"Khan, Uzma Aslam",5,The English Patient,"Ondaatje, Michael",FALSE
"Saniee, Parinoush",2,Animal Farm,"Orwell, George",FALSE
"Manguel, Alberto",6,Nineteen Eighty-Four,"Orwell, George",TRUE
"Akbar, Arifa",7,Nineteen Eighty-Four,"Orwell, George",TRUE
"Silcox, Beejay",5,Nineteen Eighty-Four,"Orwell, George",TRUE
"Morrison, Blake",6,Nineteen Eighty-Four,"Orwell, George",TRUE
"Carty-Williams, Candice",6,Nineteen Eighty-Four,"Orwell, George",TRUE
"Taylor, Catherine",4,Nineteen Eighty-Four,"Orwell, George",TRUE
"McCann, Colum",7,Nineteen Eighty-Four,"Orwell, George",TRUE
"Lynskey, Dorian",7,Nineteen Eighty-Four,"Orwell, George",TRUE
"McBride, Eimear",9,Nineteen Eighty-Four,"Orwell, George",TRUE
"Edugyan, Esi",3,Nineteen Eighty-Four,"Orwell, George",TRUE
"Edwards, Jack",3,Nineteen Eighty-Four,"Orwell, George",TRUE
"Wilson, Laura",4,Nineteen Eighty-Four,"Orwell, George",TRUE
"Theroux, Marcel",6,Nineteen Eighty-Four,"Orwell, George",TRUE
"Rosoff, Meg",9,Nineteen Eighty-Four,"Orwell, George",TRUE
"Saniee, Parinoush",3,Nineteen Eighty-Four,"Orwell, George",TRUE
"Collins, Sara",5,Nineteen Eighty-Four,"Orwell, George",TRUE
"Bakewell, Sarah",6,Nineteen Eighty-Four,"Orwell, George",TRUE
"Cain, Sian",10,Nineteen Eighty-Four,"Orwell, George",TRUE
"Luiselli, Valeria",8,Nineteen Eighty-Four,"Orwell, George",TRUE
"Williams, Imogen Russell",5,The Hounds of the Morrigan,"O'Shea, Pat",FALSE
"Haynes, Natalie",10,Tale for the Time Being,"Ozeki, Ruth",FALSE
"Knapp, Florence",10,Wonder,"Palacio, R. J.",FALSE
"Lynskey, Dorian",1,U.s.a.,"Passos, John Dos",FALSE
"Harrison, M. John",4,The Journal of Albion Moonlight,"Patchen, Kenneth",FALSE
"Sands, Philippe",6,Commonwealth,"Patchett, Ann",FALSE
"Gay, Roxane",5,Commonwealth,"Patchett, Ann",FALSE
"Craig, Amanda",10,Tom Lake,"Patchett, Ann",FALSE
"Obioma, Chigozie",4,"Cry, the Beloved Country","Paton, Alan",FALSE
"Harris, Joanne",7,Gormenghast,"Peake, Mervyn",FALSE
"Bakewell, Sarah",10,The Gormenghast Novels,"Peake, Mervyn",FALSE
"Smith, PD",8,Titus Groan,"Peake, Mervyn",FALSE
"Chaudhuri, Amit",9,The Moviegoer,"Percy, Walker",FALSE
"Kelly, Stuart",6,A Void,"Perec, Georges",FALSE
"Thirlwell, Adam",9,"Life, a User's Manual","Perec, Georges",FALSE
"Elkin, Lauren",5,"Life, a User's Manual","Perec, Georges",FALSE
"Younis, Nussaibah",2,"Detransition, Baby","Peters, Torrey",FALSE
"van der Wouden, Yael",10,Stag Dance,"Peters, Torrey",FALSE
"Mosse, Kate",7,The Street,"Petry, Ann",FALSE
"Shafak, Elif",7,The Bell Jar,"Plath, Sylvia",FALSE
"Ellis, Samantha",5,The Bell Jar,"Plath, Sylvia",FALSE
"Rijneveld, Lucas",7,The Fall of the House of Usher,"Poe, Edgar Allan",FALSE
"Rijneveld, Lucas",3,Grief Is the Thing With Feathers,"Porter, Max",FALSE
"Rankin, Ian",6,A Dance to the Music of Time,"Powell, Anthony",FALSE
"Lanchester, John",10,A Dance to the Music of Time,"Powell, Anthony",FALSE
"Anil, Pratinav",2,A Dance to the Music of Time,"Powell, Anthony",FALSE
"Haynes, Natalie",4,Overstory,"Powers, Richard",FALSE
"Allan, Nina",8,The Affirmation,"Priest, Christopher",FALSE
"Roberts, Adam",10,The Inverted World,"Priest, Christopher",FALSE
"Johnson, Daisy",3,The Shipping News,"Proulx, Annie",FALSE
"Thirlwell, Adam",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Clark, Alex",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Solomon, Andrew",4,In Search of Lost Time,"Proust, Marcel",TRUE
"Enright, Anne",3,In Search of Lost Time,"Proust, Marcel",TRUE
"Okri, Ben",7,In Search of Lost Time,"Proust, Marcel",TRUE
"Higgins, Charlotte",3,In Search of Lost Time,"Proust, Marcel",TRUE
"Aridjis, Chloe",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Power, Chris",8,In Search of Lost Time,"Proust, Marcel",TRUE
"Messud, Claire",3,In Search of Lost Time,"Proust, Marcel",TRUE
"Tóibín, Colm",3,In Search of Lost Time,"Proust, Marcel",TRUE
"Kehlmann, Daniel",2,In Search of Lost Time,"Proust, Marcel",TRUE
"McBride, Eimear",4,In Search of Lost Time,"Proust, Marcel",TRUE
"Batuman, Elif",9,In Search of Lost Time,"Proust, Marcel",TRUE
"Sampson, Fiona",1,In Search of Lost Time,"Proust, Marcel",TRUE
"Patterson, Ian",1,In Search of Lost Time,"Proust, Marcel",TRUE
"Rose, Jacqueline",1,In Search of Lost Time,"Proust, Marcel",TRUE
"Lanchester, John",1,In Search of Lost Time,"Proust, Marcel",TRUE
"Mullan, John",6,In Search of Lost Time,"Proust, Marcel",TRUE
"Vasquez, Juan Gabriel",6,In Search of Lost Time,"Proust, Marcel",TRUE
"King, Lily",9,In Search of Lost Time,"Proust, Marcel",TRUE
"Laing, Olivia",1,In Search of Lost Time,"Proust, Marcel",TRUE
"Anil, Pratinav",1,In Search of Lost Time,"Proust, Marcel",TRUE
"Rushdie, Salman",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Bakewell, Sarah",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Poole, Steven",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Boyd, William",2,In Search of Lost Time,"Proust, Marcel",TRUE
"Lianke, Yan",9,In Search of Lost Time,"Proust, Marcel",TRUE
"Birch, Dinah",10,Northern Lights,"Pullman, Philip",FALSE
"Williams, Imogen Russell",9,Northern Lights,"Pullman, Philip",FALSE
"Batuman, Elif",7,Eugene Onegin,"Pushkin, Alexander",FALSE
"Mohamed, Nadifa",2,Eugene Onegin,"Pushkin, Alexander",FALSE
