voter,position,book,author,top100
"Dolan, Naoise",10,Of Love and Other Demons,"García Márquez, Gabriel",FALSE
"Soueif, Ahdaf",10,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Manguel, Alberto",5,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Okri, Ben",9,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Armitstead, Claire",3,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Tóibín, Colm",8,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Johnson, Daisy",7,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Diop, David",7,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Shafak, Elif",1,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Thayil, Jeet",4,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Vasquez, Juan Gabriel",2,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Donkor, Michael",3,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Saniee, Parinoush",4,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Kuang, RF",7,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Osman, Richard",7,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Rushdie, Salman",4,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Waters, Sarah",9,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Luiselli, Valeria",3,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"Dawoor, Yagnishsing",1,One Hundred Years of Solitude,"García Márquez, Gabriel",TRUE
"O’Farrell, Maggie",1,Old Filth Trilogy,"Gardam, Jane",FALSE
"Maarouf, Mazen",2,Promise at Dawn,"Gary, Romain",FALSE
"Markovits, Ben",4,Cranford,"Gaskell, Elizabeth",FALSE
"Hughes, Kathryn",6,Cranford,"Gaskell, Elizabeth",FALSE
"Knapp, Florence",5,North and South,"Gaskell, Elizabeth",FALSE
"Calder, Jem",10,The Tunnel,"Gass, William H.",FALSE
"O’Farrell, Maggie",9,The Yellow Wallpaper,"Gilman, Charlotte Perkins",FALSE
"Taylor, Catherine",7,All Our Yesterdays,"Ginzburg, Natalia",FALSE
"Walter, Natasha",4,All Our Yesterdays,"Ginzburg, Natalia",FALSE
"Creamer, Ella",6,The Road to the City,"Ginzburg, Natalia",FALSE
"Sands, Philippe",8,The Man Who Planted Trees,"Giono, Jean",FALSE
"Kehlmann, Daniel",6,Elective Affinities,"Goethe, Johann Wolfgang von",FALSE
"Kehlmann, Daniel",5,Sorrows of Young Werther,"Goethe, Johann Wolfgang von",FALSE
"Needham, Alex",10,Senseless,"Golding, Paul",FALSE
"Johnston, Freya",9,The Vicar of Wakefield,"Goldsmith, Oliver",FALSE
"Anil, Pratinav",8,Oblomov,"Goncharov, Ivan Aleksandrovich",FALSE
"Hadley, Tessa",6,A Guest of Honour,"Gordimer, Nadine",FALSE
"Jaggi, Maya",3,The Tin Drum,"Grass, Günter",FALSE
"Rushdie, Salman",5,The Tin Drum,"Grass, Günter",FALSE
"Smith, Ali",6,Lanark,"Gray, Alasdair",FALSE
"Rankin, Ian",9,Lanark,"Gray, Alasdair",FALSE
"Patterson, Ian",7,Caught,"Green, Henry",FALSE
"Cohen, Joshua",9,Stamboul Train,"Greene, Graham",FALSE
